No,year,month,day,hour,PM2.5,PM10,CO,TEMP,PRES,DEWP,WSPM,monthno
1,2013,3,1,0,4,4,300,-0.7,1023,-18.8,4.4,3
2,2013,3,1,1,8,8,300,-1.1,1023.2,-18.2,4.7,3
3,2013,3,1,2,7,7,300,-1.1,1023.5,-18.2,5.6,3
4,2013,3,1,3,6,6,300,-1.4,1024.5,-19.4,3.1,3
5,2013,3,1,4,3,3,300,-2,1025.2,-19.5,2,3
6,2013,3,1,5,5,5,400,-2.2,1025.6,-19.6,3.7,3
7,2013,3,1,6,3,3,500,-2.6,1026.5,-19.1,2.5,3
8,2013,3,1,7,3,6,500,-1.6,1027.4,-19.1,3.8,3
9,2013,3,1,8,3,6,500,0.1,1028.3,-19.2,4.1,3
10,2013,3,1,9,3,8,400,1.2,1028.5,-19.3,2.6,3
11,2013,3,1,10,3,6,400,1.9,1028.2,-19.4,3.6,3
12,2013,3,1,11,3,6,400,2.9,1028.2,-20.5,3.7,3
13,2013,3,1,12,3,6,300,3.9,1027.3,-19.7,5.1,3
14,2013,3,1,13,3,6,400,5.3,1026.2,-19.3,4.3,3
15,2013,3,1,14,6,9,400,6,1025.9,-19.6,4.4,3
16,2013,3,1,15,8,15,400,6.2,1025.7,-18.6,2.8,3
17,2013,3,1,16,9,19,400,5.9,1025.6,-18.1,3.9,3
18,2013,3,1,17,10,23,400,4.3,1026.3,-18.7,2.8,3
19,2013,3,1,18,11,20,500,3.1,1027.4,-18.4,2.1,3
20,2013,3,1,19,8,14,500,2.3,1028.3,-18.4,2.8,3
21,2013,3,1,20,11,17,600,1.7,1029.1,-17.3,2.1,3
22,2013,3,1,21,12,18,500,0.6,1030.1,-16.7,0.8,3
23,2013,3,1,22,15,19,700,0.9,1030.5,-17.4,1.8,3
24,2013,3,1,23,24,24,600,-0.2,1030.5,-17.4,1.4,3
25,2013,3,2,0,22,24,500,-0.4,1031,-17.6,1.4,3
26,2013,3,2,1,14,17,400,-1,1031.3,-17.3,1.1,3
27,2013,3,2,2,13,13,400,-1.5,1030.9,-16.9,1.7,3
28,2013,3,2,3,3,9,400,-1.4,1030.6,-17.6,1.4,3
29,2013,3,2,4,3,7,400,-1.5,1030.8,-17.7,0.9,3
30,2013,3,2,5,9,11,500,-1.8,1030.1,-17.5,2,3
31,2013,3,2,6,4,10,500,-2.5,1029.6,-17.7,0.7,3
32,2013,3,2,7,3,11,500,-1.7,1029.8,-17,1.2,3
33,2013,3,2,8,3,7,500,-0.4,1029.6,-17.6,1.8,3
34,2013,3,2,9,10,14,700,0.6,1029.7,-16.7,1.7,3
35,2013,3,2,10,11,19,600,1.7,1028.9,-16.3,1.6,3
36,2013,3,2,11,18,29,800,2.2,1028.2,-16.8,3.1,3
37,2013,3,2,12,26,30,900,2.7,1027.3,-16.4,2.7,3
38,2013,3,2,13,25,33,700,3.3,1025.7,-16.4,1.5,3
39,2013,3,2,14,26,35,700,3.8,1024.8,-16,1.3,3
40,2013,3,2,15,37,40,700,3.9,1024.1,-16.5,1.2,3
41,2013,3,2,16,37,46,1000,3.5,1023.6,-15.2,2.5,3
42,2013,3,2,17,44,58,1200,2.2,1023.4,-13.6,0.4,3
43,2013,3,2,18,54,79,1100,1.2,1023.2,-12.3,0.9,3
44,2013,3,2,19,61,86,1300,1.5,1022.9,-13.8,1.2,3
45,2013,3,2,20,67,96,1399,1.2,1022.9,-14.1,1.2,3
46,2013,3,2,21,74,103,1399,0.6,1022.6,-14.2,1.3,3
47,2013,3,2,22,81,113,1500,-0.6,1022.3,-13.9,1.4,3
48,2013,3,2,23,93,120,1700,-0.8,1021.1,-13.4,1.3,3
49,2013,3,3,0,112,130,1899,-1.4,1020.4,-13,1.2,3
50,2013,3,3,1,109,132,2200,-2,1019.4,-13.2,1.2,3
51,2013,3,3,2,110,132,2399,-2.8,1018.3,-12.3,1.4,3
52,2013,3,3,3,105,129,2500,-2.6,1017.2,-13.2,1.2,3
53,2013,3,3,4,106,136,2799,-4.3,1016.9,-11.8,0.9,3
54,2013,3,3,5,101,135,2399,-5.6,1016.3,-10.9,0.8,3
55,2013,3,3,6,91,142,2100,-5.8,1016.2,-11,0.8,3
56,2013,3,3,7,79,116,2000,-3.1,1016.5,-11.1,1.5,3
57,2013,3,3,8,77,110,2299,0.7,1016.2,-13,2.3,3
58,2013,3,3,9,83,119,2600,3.5,1015.8,-13.8,0.4,3
59,2013,3,3,10,94,122,1800,6.5,1014.9,-13.2,1.3,3
60,2013,3,3,11,96,117,1600,11.4,1013.8,-10.8,0.9,3
61,2013,3,3,12,91,108,1600,13.8,1012.5,-13.3,1.1,3
62,2013,3,3,13,98,134,1200,16,1011.5,-13.5,5.9,3
63,2013,3,3,14,72,106,900,16.7,1010.8,-14,4.3,3
64,2013,3,3,15,48,114,500,16.9,1010.5,-12.7,2,3
65,2013,3,3,16,28,100,400,16.4,1010.6,-15.4,2.9,3
66,2013,3,3,17,26,103,400,13.1,1011.1,-10.1,1.7,3
67,2013,3,3,18,24,82,500,8.7,1012.3,-11.3,1.6,3
68,2013,3,3,19,19,71,1300,12.2,1013.4,-13.7,2,3
69,2013,3,3,20,60,175,2000,11.7,1013.5,-12.6,0.9,3
70,2013,3,3,21,117,181,1100,5.3,1013.6,-10.9,0,3
71,2013,3,3,22,54,105,1200,3.1,1014.1,-10.2,1.8,3
72,2013,3,3,23,46,94,1200,5.2,1014.8,-10.6,1.7,3
73,2013,3,4,0,42,83,1300,7.7,1015.7,-11.1,2.6,3
74,2013,3,4,1,49,80,1000,8.2,1016.7,-11.7,2.8,3
75,2013,3,4,2,34,62,300,8.1,1016.7,-11.8,4.3,3
76,2013,3,4,3,12,34,NA,7.2,1016.9,-11.6,2.8,3
77,2013,3,4,4,7,18,400,6,1018,-11.6,1,3
78,2013,3,4,5,10,24,400,2.7,1018.6,-10.9,0.5,3
79,2013,3,4,6,13,32,500,3.8,1018.9,-11.4,2.3,3
80,2013,3,4,7,14,36,600,6.5,1019.7,-10.7,2.3,3
81,2013,3,4,8,13,35,700,9,1020.7,-12.2,3.1,3
82,2013,3,4,9,15,32,500,10.6,1020.8,-12.1,1.3,3
83,2013,3,4,10,16,24,600,11.9,1020.4,-12.4,2.1,3
84,2013,3,4,11,18,33,400,13.1,1020,-13,3,3
85,2013,3,4,12,13,28,400,14.2,1018.9,-13.9,2.7,3
86,2013,3,4,13,3,12,300,15.3,1017.8,-13,2,3
87,2013,3,4,14,3,10,400,15.2,1017,-13.1,0.7,3
88,2013,3,4,15,10,13,400,15.3,1016.3,-13,2.4,3
89,2013,3,4,16,14,20,500,14.5,1015.7,-13.7,2.6,3
90,2013,3,4,17,20,33,500,12.7,1015.9,-11.8,2.6,3
91,2013,3,4,18,25,44,600,11.6,1016.5,-11.3,3.4,3
92,2013,3,4,19,31,63,700,10.9,1016.6,-10.6,3.5,3
93,2013,3,4,20,34,84,800,9.9,1016.9,-10.3,3.1,3
94,2013,3,4,21,40,85,800,8.4,1016.9,-10,2.1,3
95,2013,3,4,22,51,91,1000,8.6,1016.3,-9.9,2.4,3
96,2013,3,4,23,58,94,1100,7.7,1015.7,-9.3,2.1,3
97,2013,3,5,0,71,108,1100,4.7,1015.2,-9.1,1.6,3
98,2013,3,5,1,91,127,1200,1.1,1014.7,-7.9,0,3
99,2013,3,5,2,100,129,1200,-0.6,1014.4,-8.1,0,3
100,2013,3,5,3,103,130,1399,0.2,1014,-8.8,1.2,3
101,2013,3,5,4,115,151,2299,1.8,1013.7,-9.5,1.5,3
